  Paikka;Aika;Arvo
1036;1848.02.21 00:00;
1036;1848.02.22 00:00;
1036;1848.02.23 00:00;
1036;1848.02.24 00:00;
1036;1848.02.25 00:00;
1036;1848.02.26 00:00;464.00
1036;1848.02.27 00:00;466.00
1036;1848.02.28 00:00;466.00
1036;1848.02.29 00:00;469.00
1036;1848.03.01 00:00;471.00
1036;1848.03.02 00:00;471.00
1036;1848.03.03 00:00;471.00
1036;1848.03.04 00:00;471.00
1036;1848.03.05 00:00;469.00
1036;1848.03.06 00:00;469.00
1036;1848.03.07 00:00;469.00
1036;1848.03.08 00:00;469.00
1036;1848.03.09 00:00;469.00
1036;1848.03.10 00:00;469.00
1036;1848.03.11 00:00;466.00
1036;1848.03.12 00:00;466.00
1036;1848.03.13 00:00;464.00
1036;1848.03.14 00:00;464.00
1036;1848.03.15 00:00;461.00
1036;1848.03.16 00:00;461.00
1036;1848.03.17 00:00;461.00
1036;1848.03.18 00:00;461.00
1036;1848.03.19 00:00;461.00
1036;1848.03.20 00:00;464.00
1036;1848.03.21 00:00;464.00
1036;1848.03.22 00:00;464.00
1036;1848.03.23 00:00;464.00
1036;1848.03.24 00:00;464.00
1036;1848.03.25 00:00;464.00
1036;1848.03.26 00:00;464.00
1036;1848.03.27 00:00;464.00
1036;1848.03.28 00:00;464.00
1036;1848.03.29 00:00;464.00
1036;1848.03.30 00:00;469.00
1036;1848.03.31 00:00;
1036;1848.04.01 00:00;
1036;1848.04.02 00:00;
1036;1848.04.03 00:00;
1036;1848.04.04 00:00;
1036;1848.04.05 00:00;
1036;1848.04.06 00:00;
1036;1848.04.07 00:00;
1036;1848.04.08 00:00;
1036;1848.04.09 00:00;
1036;1848.04.10 00:00;
1036;1848.04.11 00:00;
1036;1848.04.12 00:00;
1036;1848.04.13 00:00;
1036;1848.04.14 00:00;
1036;1848.04.15 00:00;
1036;1848.04.16 00:00;
1036;1848.04.17 00:00;
1036;1848.04.18 00:00;
1036;1848.04.19 00:00;
1036;1848.04.20 00:00;
1036;1848.04.21 00:00;
1036;1848.04.22 00:00;
1036;1848.04.23 00:00;
1036;1848.04.24 00:00;
1036;1848.04.25 00:00;
1036;1848.04.26 00:00;
1036;1848.04.27 00:00;485.00
1036;1848.04.28 00:00;488.00
1036;1848.04.29 00:00;488.00
1036;1848.04.30 00:00;491.00
1036;1848.05.01 00:00;494.00
1036;1848.05.02 00:00;494.00
1036;1848.05.03 00:00;496.00
1036;1848.05.04 00:00;496.00
1036;1848.05.05 00:00;499.00
1036;1848.05.06 00:00;499.00
